Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
70 000 000 Ksh,50m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
250 000 000 Ksh,250M Kibra,20mx30m,6.0,5.0,,,,,
8 500 000 Ksh,Nairobi ,/,3.0,1.0,,,,Yes,
49 000 000 Ksh,49M Kahawa,/,4.0,3.0,,Yes,,,
55 000 000 Ksh,55M Kilimani,/,4.0,3.0,,Yes,,,
55 000 000 Ksh,Nairobi Kahawa,/,4.0,3.0,,,,Yes,Yes
52 000 000 Ksh,Kahawa house for sale@52 millions,25/20m,4.0,3.0,,,,Yes,Yes
130 000 000 Ksh,"Karen, @130.000.000 Ksh",30/30m,4.0,4.0,,,,Yes,Yes
90 000 000 Ksh,"Nairobi, Komarock",,5.0,3.0,Yes,,Yes,Yes,
60 000 000 Ksh,Nairobi,20/16C,3.0,,,,,,
25 000 000 Ksh,Pangani,30/30,4.0,3.0,,,,,
120 000 000 Ksh,"Karen, @120.000.000 Ksh",25/30m,4.0,4.0,,,,Yes,Yes
35 000 000 Ksh,35M Kilimani,20mx30m,4.0,3.0,,,,,
110 000 000 Ksh,110M Karen,/,4.0,3.0,,Yes,,,
63 000 000 Ksh,Karen 63,30/25V,5.0,3.0,,,,Yes,Yes
65 000 000 Ksh,"www.nairobiland.com,Kilimani @65 millions",24/20m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Nairobi Dagoretti,750Sqm,3.0,2.0,,,Yes,,Yes
140 000 000 Ksh,"Nairobi, Karen",/,4.0,3.0,,Yes,,,
110 000 000 Ksh,Nairobi Kibra,30/25 ,4.0,4.0,,,,Yes,Yes
75 000 000 Ksh,"Kasarani, house for sale @75.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
38 000 000 Ksh,38M Kahawa,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Ksh,45M Jogooroad,/,4.0,3.0,,,,Yes,
450 000 000 Ksh,Westlands,30x35 ,6.0,5.0,Yes,,,Yes,Yes
80 000 000 Ksh,80M Langata,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
200 000 000 Ksh,Kasarani house for sale @200 millions,35/30P,6.0,5.0,,,,Yes,Yes
55 000 000 Ksh,55M Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Ksh,Kilimani,300 sq,4.0,2.0,,,,,
30 000 000 Ksh,30M Dagoretti,,3.0,3.0,Yes,Yes,Yes,Yes,Yes
65 000 000 Ksh,"www.nairobiland.com,Kilimani @65 millions",24/20m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,Kahawa house for sale@50 millions,25/20â,4.0,3.0,,,,Yes,Yes
85 000 000 Ksh,Uthiru 85M,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
45 000 000 Ksh,"Nairobi,Kinoo",2383 sq,4.0,3.0,,Yes,,Yes,
65 000 000 Ksh,65m Uthiru,20mx30m,4.0,1.0,,,,,Yes
35 000 000 Ksh,Nairobi Kilimani,20/20m,4.0,2.0,,,,Yes,Yes
34 000 000 Ksh,Pangani,,5.0,3.0,,,Yes,,
120 000 000 Ksh,"Karen, Nairobi",,5.0,4.0,Yes,Yes,Yes,Yes,Yes
140 000 000 Ksh,www.nairobilandhouse.com Kibra@140.000.000Ksh,30/30m,6.0,4.0,,,,Yes,Yes
53 000 000 Ksh,www.nairobiland.com/ Kahawa@53 millions,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,"www.nairobiland.com, Kahawa@50 millions",25/20m,4.0,3.0,,,,Yes,Yes
80 000 000 Ksh,Nairobi Kilimani,/,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Kahawa 55millions,20mx30m,4.0,3.0,,,,,Yes
70 000 000 Ksh,Kilimani @70.000.000 Ksh,25/25m,4.0,3.0,,,,Yes,Yes
48 000 000 Ksh,48M Githurai44,20mx15m,4.0,3.0,Yes,Yes,Yes,Yes,
45 000 000 Ksh,Nairobi 45m,600sqm,4.0,3.0,,,,,
55 000 000 Ksh,Kasarani @4bedrooms @55.000.000 Ksh,20/30m,4.0,3.0,,,,Yes,Yes
42 000 000 Ksh,42M Dagoretti,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
42 000 000 Ksh,42M Umoja,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
75 000 000 Ksh,"Kasarani, Nairobi",,4.0,3.0,,,Yes,Yes,
49 000 000 Ksh,49M Kahawa,/,4.0,3.0,,Yes,,,
60 000 000 Ksh,"Nairobi, Kahawa",/,4.0,3.0,,Yes,,,
60 000 000 Ksh,"Nairobi,Kahawa",/,4.0,3.0,,,,,
30 000 000 Ksh,30M Kahawa,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
48 000 000 Ksh,Ruaraka48,20m l,5.0,4.0,,,,,
40 000 000 Ksh,Komarock house for sale@40 millions,20/25P,4.0,3.0,Yes,,,Yes,Yes
55 000 000 Ksh,55m Kilimani,30mx25m,3.0,2.0,Yes,Yes,Yes,Yes,
45 000 000 Ksh,45M Kahawa,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
218 000 000 Ksh,Hurlingham-Muthaiga,999sqm,,,,,,,Yes
50 000 000 Ksh,www.nairobiland.com/ Kahawa@50 millions,25/30m,4.0,3.0,,,,Yes,Yes
60 000 000 Ksh,Nairobi-Ngara,20mx20m,4.0,2.0,,,,,
80 000 000 Ksh,Kibra house for sale@80 millions,20/25P,4.0,3.0,Yes,,,Yes,Yes
180 000 000 Ksh,Karen house for sale @180 millions,25/30m,,1.0,Yes,,,Yes,Yes
37 000 000 Ksh,"Nairobi, Komarock",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Ksh,www.nairobiland.com/ Karen@150 millions.,35/30m,6.0,4.0,,,,Yes,Yes
45 000 000 Ksh,45M Nairobi ,30mx30m,4.0,2.0,,,,,Yes
235 000 000 Ksh,Ruai- Dagoretti ON THE PAVED ROAD,1300 sq,6.0,6.0,,,,Yes,Yes
160 000 000 Ksh,"www.nairobiland.com,Kasarani @160 millions",25/30m,,1.0,,,,Yes,Yes
85 000 000 Ksh,"Karen, @85.000.000 Ksh",25/30m,5.0,3.0,,,,Yes,Yes
200 000 000 Ksh,Kibra,/,7,1.0,Yes,,Yes,Yes,Yes
830 000 000 Ksh,Nairobi Kasarani,40/20m,,1.0,,,,,Yes
55 000 000 Ksh,55M Kilimani ,25mx20m,4.0,3.0,,,,,
40 000 000 Ksh,Kasarani house for sale@40 millions,30/35m,4.0,2.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi Kasarani,25/30m,4.0,3.0,,,,Yes,Yes
120 000 000 Ksh,Nairobi Karen,25/30m,5.0,3.0,,,,Yes,Yes
50 000 000 Ksh,50M Karen,25mx20m,4.0,2.0,,,,,Yes
55 000 000 Ksh,Nairobi Kahawa,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Nairobi 55M,/,3.0,3.0,,Yes,,,
70 000 000 Ksh,70M Kibra,25m/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,"www.nairobilandhouse.com,Kahawa@55 millions",25/30â,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi--Karen,15mx20m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Kilimani BIBARE ,/,,,,,,,
60 000 000 Ksh,60M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
30 000 000 Ksh,Ruyenzi,40/30p,4.0,3.0,,,,,
380 000 000 Ksh,Kariobangi,1800 sq,10,5.0,,,,Yes,Yes
75 000 000 Ksh,Karen house for sale @ 75 millions,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Kahawa house for sale@65 millions,20/25m,,1.0,,,,Yes,Yes
20 000 000 Ksh,20M Malaa,/,5.0,2.0,,Yes,,,
60 000 000 Ksh,Nairobi Kahawa,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,"Kasarani, Nairobi",,3.0,2.0,,,Yes,Yes,
$ 145 000,"Nairobi, Karen",/,3.0,3.0,,Yes,,,
95 000 000 Ksh,Nairobi,30/20f,5.0,3.0,,Yes,,Yes,Yes
350 000 000 Ksh,Ngumo,3338sqm,5.0,2.0,,Yes,,Yes,
27 000 000 Ksh,27m Makadara,25mx30m,3.0,1.0,Yes,Yes,Yes,Yes,
65 000 000 Ksh,"Nairobi, Kahawa",786 sq,,1.0,,Yes,,,
80 000 000 Ksh,Nairobi Dagoretti,/,5.0,3.0,,,,Yes,Yes
50 000 000 Ksh,50M Uthiru,30mx20m,4.0,3.0,,,,Yes,
55 000 000 Ksh,Nairobi--Kilimani,25mx30m,4.0,2.0,,,,Yes,Yes
47 000 000 Ksh,Dagoretti:property24.com,30mx25m,4.0,2.0,,,,,
100 000 000 Ksh,"Karen, @100.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
350 000 000 Ksh,Westlands,30/25P,7,6.0,Yes,,,Yes,Yes
120 000 000 Ksh,Kilimani house for sale@120 millions,25/30m,,1.0,,,,Yes,Yes
150 000 000 Ksh,Umoja-Donholm,1310 sqm,4.0,2.0,,Yes,,Yes,
30 000 000 Ksh,30m Kilimani,20mx30m,4.0,3.0,,,,,
65 000 000 Ksh,Kilimani house for sale@65 millions,30/25m,,1.0,,,,Yes,Yes
70 000 000 Ksh,www.nairobiland.com/Komarock@70 millions,25/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Ksh,Kibra 140m,30/30p,4.0,3.0,,Yes,,Yes,Yes
33 000 000 Ksh,33m Kilimani,,4.0,2.0,Yes,Yes,Yes,Yes,Yes
95 000 000 Ksh,Nairobi,30/20f,5.0,3.0,,Yes,,Yes,Yes
120 000 000 Ksh,Nairobi 120M,30/20p,5.0,4.0,,Yes,,Yes,Yes
500 000 000 Ksh,Nairobi-Mathare,15m/20m,,,,,,,
85 000 000 Ksh,Nairobidealer.com,600Sqm,4.0,3.0,,,Yes,,Yes
350 000 000 Ksh,Ngumo,3338sqm,5.0,2.0,,Yes,,Yes,
33 000 000 Ksh,33m Kahawa,/,4.0,3.0,,Yes,,,
300 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kibra@300millions,30/30m,5.0,5.0,,,,Yes,Yes
70 000 000 Ksh,"Kasarani, house for sale @70.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi Kilimani,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Nairobi@festussibo28@gmail.com,20m/20m,4.0,2.0,,,,Yes,
28 000 000 Ksh,28m Kahawa,/,4.0,3.0,,,,Yes,
55 000 000 Ksh,55m Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Ksh,"Karen house for sale, 150 millions",20/25P,5.0,4.0,Yes,,,Yes,Yes
40 000 000 Ksh,Kahawa 40M,500sqm,4.0,2.0,,,,,
75 000 000 Ksh,Kasarani house for sale@75 millions,/,4.0,3.0,,,,,
50 000 000 Ksh,"Kasarani, house for sale @50.000.000 Ksh",20/30m,4.0,3.0,,,,Yes,Yes
100 000 000 Ksh,www.nairobilandhouse.com is selling a house at Karen@100.000.000Ksh,25/25m,,1.0,,,,Yes,Yes
35 000 000 Ksh,35M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Ksh,Nairobi Kahawa,25/25m,4.0,3.0,,,,Yes,Yes
200 000 000 Ksh,200M Jogooroad,30mx40m,8,6.0,,,,,
50 000 000 Ksh,50m Uthiru,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Ksh,Kahawa @45.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
36 000 000 Ksh,36M Jogooroad,/,4.0,3.0,,Yes,,,
150 000 000 Ksh,Nairobi,/,4.0,4.0,,,,Yes,Yes
35 000 000 Ksh,Nairobi 35M,30/20p,4.0,3.0,,Yes,,Yes,Yes
65 000 000 Ksh,Nairobi Kahawa,/,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,"Kasarani, house for sale @50.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
140 000 000 Ksh,"Nairobi,Westlands",/,5.0,4.0,,,,Yes,Yes
30 000 000 Ksh,30M Jogooroad,,3.0,2.0,Yes,Yes,Yes,Yes,Yes
15 000 000 Ksh,Nairobi,20mx30m,,,,,,,
100 000 000 Ksh,Nairobi Kasarani,30/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,Nairobi Kasarani,25/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Ksh,Nairobi 70m,30/20p,4.0,3.0,,Yes,,Yes,Yes
35 000 000 Ksh,35m Komarock,20MX30M,4.0,3.0,,,,Yes,Yes
100 500 000 000 Ksh,www.nairobilandhouse.com @80 millions,25/30m,,1.0,,,,Yes,Yes
19 000 000 Ksh,19M Dagoretti,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
500 000 000 Ksh,Westlands,/,11,1.0,,,,Yes,
55 000 000 Ksh,Komarock house for sale@55 millions,30/20P,4.0,3.0,Yes,,,Yes,Yes
160 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kasarani@160.000.000Ksh,35/30m,5.0,4.0,,,,Yes,Yes
50 000 000 Ksh,Ngongroad:property24.com,25mx30m,4.0,3.0,,,,,
130 000 000 Ksh,Nairobi@festus,20/25m,5.0,4.0,,,,Yes,Yes
55 000 000 Ksh,Kahawa:property24.com,20mx30m,4.0,3.0,,,,,
35 000 000 Ksh,35M Karen,/,4.0,3.0,,Yes,,,
35 000 000 Ksh,35M KIMIHURA,/,4.0,3.0,,Yes,,,
55 000 000 Ksh,Nairobi Kilimani,25/25m,5.0,3.0,,,,Yes,Yes
60 000 000 Ksh,www.nairobiland.com Kahawa @60.000.000 Ksh,25/35m,4.0,1.0,,,,Yes,Yes
8 500 000 Ksh,"Utawala 8,5M",20/30 ,,,,,,,
55 000 000 Ksh,Nairobi Kahawa,/,4.0,3.0,,,,Yes,Yes
120 000 000 Ksh,Karen@festus,25mx30m,4.0,3.0,,,,,Yes
65 000 000 Ksh,65m Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
450 000 000 Ksh,Westlands,30x35 ,6.0,5.0,Yes,,,Yes,Yes
55 000 000 Ksh,www.nairobiland.com/ Kahawa@55 millions,28/30m,4.0,3.0,,,,Yes,Yes
25 000 000 Ksh,Nairobi Ruai,600Sqm,4.0,2.0,,,,,
19 000 000 Ksh,19M Ngongroad,/,4.0,3.0,,Yes,,,
82 000 000 Ksh,Karen 82M,944sqm,4.0,3.0,,,,,
53 000 000 Ksh,Komarock house for sale@53 millions,30/25m,,1.0,,,,Yes,Yes
50 000 000 Ksh,"www.nairobiland.com,Kilimani@50 millions",25/30m,,1.0,,,,Yes,Yes
100 000 000 Ksh,Nairobi-Karen-festus,20m/25m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,50M Kilimani,20mx30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,55m Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
60 000 000 Ksh,60M Gigiri,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
200 000 000 Ksh,200M Jogooroad,30mx40m,8,6.0,,,,,
120 000 000 Ksh,120M Dagoretti,/,5.0,4.0,,Yes,,,
55 000 000 Ksh,Dagoretti @55.000.000 Ksh,30/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,Kahawa @50.000.000 Ksh,20/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Ksh,"Nairobi, Komarock",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
90 000 000 Ksh,Nairobi Umoja,25;25m,4.0,3.0,,,,Yes,Yes
75 000 000 Ksh,Nairobi,35mx30m,4.0,3.0,,,,Yes,Yes
150 000 000 Ksh,Kibra house for sale@150 millions,35/30m,4.0,3.0,,,,Yes,Yes
45 000 000 Ksh,Kahawa,520sqm,4.0,3.0,Yes,,,Yes,Yes
45 000 000 Ksh,"Nairobi, Kasarani Gigiri",/,4.0,2.0,,Yes,,Yes,Yes
30 000 000 Ksh,Kinoo,/,,,,,,,
65 000 000 Ksh,65M Karen,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Ksh,55M Jogooroad,20mx30m,4.0,3.0,,,,,
130 000 000 Ksh,Nairobi Kibra,30/25 ,4.0,4.0,,,,Yes,Yes
80 000 000 Ksh,"Nairobi,Kasarani",/,4.0,3.0,,Yes,,,Yes
70 000 000 Ksh,70M Karen,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Ksh,Kawangware,/,,,,,,,
45 000 000 Ksh,45M Jogooroad,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Ksh,25M Ruaraka,/,4.0,3.0,,Yes,,,
25 000 000 Ksh,Nairobi@festus,20mx30m,4.0,2.0,,,,Yes,
70 000 000 Ksh,75m Uthiru,25m/30m,4.0,2.0,,,,Yes,Yes
45 000 000 Ksh,Kahawa @45.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
47 000 000 Ksh,47M Kahawa,30/20m,4.0,3.0,,,,Yes,Yes
80 000 000 Ksh,Uthiru 80M,750sqm,4.0,3.0,,,,,
55 000 000 Ksh,Nairobi 55M,30/20p,4.0,3.0,,Yes,,Yes,Yes
50 000 000 Ksh,Komarock 35m,25/30m,4.0,3.0,,,,Yes,Yes
80 000 000 Ksh,Nairobi Kibra,600Sqm,4.0,3.0,,,Yes,,Yes
55 000 000 Ksh,55M Dagoretti,20mx30m,4.0,3.0,,,,,
50 000 000 Ksh,Kilimani house for sale@50 millions,25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Ksh,35M Jogooroad,20mx30m,4.0,3.0,,,,,
75 000 000 Ksh,Kibra house for sale@ 75millions,/,4.0,3.0,,,,,
110 000 000 Ksh,110M Kabete,20MX30M,4.0,3.0,,,,Yes,Yes
35 000 000 Ksh,Ngongroad:property24.com,20mx30m,4.0,3.0,,,,,
130 000 000 Ksh,"Kibra, house for sale @130.000.000 Ksh",30/30m,5.0,5.0,,,,Yes,Yes
95 000 000 Ksh,Kibra,/,4.0,3.0,,,,Yes,
60 000 000 Ksh,"Nairobi, Kilimani",,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Ksh,55M Kabeteba,25mx20m,4.0,2.0,,,,,Yes
130 000 000 Ksh,"Nairobi,Karen",/,5.0,4.0,,Yes,,Yes,
50 000 000 Ksh,"www.nairobiland.com,Kahawa @50 millions",25/20m,,1.0,,,,Yes,Yes
58 000 000 Ksh,Kahawa,/,4.0,3.0,Yes,,,Yes,Yes
130 000 000 Ksh,"Kibra, house for sale @130.000.000 Ksh",25/30L,4.0,3.0,,,,Yes,Yes
46 000 000 Ksh,Nairobi-Kahawa@festus,600sqm,4.0,1.0,,,,,Yes
70 000 000 Ksh,www.nairobiland.com/ Kilimani@70 millions,25/30m,4.0,3.0,,,,Yes,Yes
75 000 000 Ksh,Nairobi CITY,,4.0,3.0,Yes,Yes,Yes,Yes,
85 000 000 Ksh,Nairobi-Kasarani,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
60 000 000 Ksh,Nairobi 60M,30/20F,5.0,3.0,,,,Yes,Yes
110 000 000 Ksh,"Karen, @110.000.000 Ksh",25/30m,4.0,4.0,,,,Yes,Yes
40 000 000 Ksh,Nairobi-Komarock-festus,20m/20m,4.0,2.0,,,,,
130 000 000 Ksh,"Nairobi, Karen",,4.0,3.0,,Yes,Yes,Yes,Yes
25 000 000 Ksh,Nairobi@festus,20mx30m,4.0,2.0,,,,Yes,
152 000 000 Ksh,Nairobi/Westlands,/,,1.0,,,Yes,Yes,
65 000 000 Ksh,Kilimani house for sale@65 millions,20/25P,4.0,3.0,,,,Yes,Yes
27 000 000 Ksh,27m Makadara,20mx30m,4.0,3.0,,,,,
25 000 000 Ksh,25M Dagoretti,,4.0,1.0,Yes,Yes,Yes,Yes,Yes
130 000 000 Ksh,Nairobi-Karen house sale@130 millions: www.nairobiland.com,25/35m,5.0,1.0,,,,Yes,Yes
120 000 000 Ksh,Karen @120.000.000 Ksh,25/30m,4.0,4.0,,,,Yes,Yes
55 000 000 Ksh,Kahawa @55.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
12 000 000 Ksh,12M Ngara,/,4.0,3.0,,Yes,,,
13 000 000 Ksh,Kahawa 13M,20mx30m,3.0,0,,,,Yes,Yes
50 000 000 Ksh,50M Kahawa,20mx30m,4.0,3.0,,,,,
22 000 000 Ksh,Kinoo,/,,,,,,,
52 000 000 Ksh,Nairobiwest:property24.com,/,4.0,3.0,,Yes,,Yes,
150 000 000 Ksh,150M Kilimani,20MX30M,5.0,4.0,,,,Yes,Yes
120 000 000 Ksh,www.nairobiland.com/ Karen@ 120 millions,28/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Ksh,"Nairobi, Kasarani-Kawangware",/,4.0,4.0,,Yes,,,
80 000 000 Ksh,80M Kilimani,30mx20m,3.0,2.0,,,,,Yes
80 000 000 Ksh,Kilimani house for sale@80 millions,30/25P,4.0,3.0,Yes,,,Yes,Yes
85 000 000 Ksh,"Karen, @85.000.000 Ksh",25/30m,4.0,3.0,,,,Yes,Yes
